TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,DATETIME_PRECISION,IS_NULLABLE
GoTicketsAdManagementBronze,GoogleAdsAdGroupForEventClusterAttributes,IsMarketingDefined,8,bit,NULL,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,GoogleAdsAdGroupForEventClusterAttributes,PerformerAliasId,9,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,GoogleAdsAdGroupForEventClusterAttributes,VenueAliasId,10,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,GoogleAdsAdGroupForEventClusterAttributes,SourceChangedTimestampUtc,11,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,GoogleAdsAdGroupForEventClusterAttributes,CreatedTimestampUtc,12,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,GoogleAdsAdGroupForEventClusterAttributes,UpdatedTimestampUtc,13,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,GoogleAdsAdGroupForPerformerAttributes,AdGroupId,1,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,GoogleAdsAdGroupForPerformerAttributes,CampaignId,2,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,GoogleAdsAdGroupForPerformerAttributes,AccountId,3,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,GoogleAdsAdGroupForPerformerAttributes,AdGroupExportStrategyType,4,varchar,200,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,GoogleAdsAdGroupForPerformerAttributes,AttributeSourceType,5,varchar,200,NULL,NULL,NULL,YES
GoTicketsAdManagementBronze,GoogleAdsAdGroupForPerformerAttributes,GoTicketsPerformerId,6,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,GoogleAdsAdGroupForPerformerAttributes,IsMarketingDefined,7,bit,NULL,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,GoogleAdsAdGroupForPerformerAttributes,PerformerAliasId,8,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,GoogleAdsAdGroupForPerformerAttributes,SourceChangedTimestampUtc,9,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,GoogleAdsAdGroupForPerformerAttributes,CreatedTimestampUtc,10,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,GoogleAdsAdGroupForPerformerAttributes,UpdatedTimestampUtc,11,datetime2,NULL,NULL,NULL,6,NO
