schema_name,table_name,column_id,column_name,data_type,max_length,precision,scale,is_nullable,pk_name,pk_ordinal,fk_name,fk_ordinal,ref_schema_name,ref_table_name,ref_column_name
Archive_Tix,dbo_VividOrder,33,AdWordsSessionId,varchar,100,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividOrder,34,BingAdsSessionId,varchar,100,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividOrder,35,OrganicSessionId,varchar,100,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividOrder,36,GeminiAdId,bigint,8,19,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividOrder,37,GeminiSessionId,varchar,100,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividOrder,38,EmailHash,varchar,100,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividOrder,39,StatusId,smallint,2,5,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividOrder,40,SalesTax,decimal,9,18,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividOrder,41,DeliveryFees,decimal,9,18,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_VividOrder,42,TransactionTotal,decimal,9,18,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
